0,0.0,11.0,6542.6,230.9,0.05
1,0.0,11.2,6542.3,230.9,0.051
2,0.0,11.3,6542.3,231.0,0.05
3,7.5,14.2,6541.6,230.9,0.239
4,30.8,35.8,6535.3,230.9,0.168
5,133.3,135.3,6530.3,230.7,0.667
6,71.6,74.1,6534.4,230.5,0.368
7,60.7,63.5,6535.1,230.4,0.288
8,60.8,63.6,6534.8,230.4,0.289
9,61.9,64.8,6534.6,230.4,0.295
10,49.3,52.8,6534.8,230.4,0.244
11,41.1,45.3,6534.8,230.4,0.205
12,67.8,70.9,6532.9,230.4,0.402
13,168.5,170.7,6526.2,230.2,0.775
14,167.6,169.9,6526.1,230.2,0.771
15,166.9,169.2,6525.8,230.2,0.768
16,167.0,169.3,6525.7,230.2,0.77
17,166.1,168.4,6525.9,230.2,0.766
18,150.6,153.0,6526.9,230.5,0.723
19,41.8,45.7,6535.0,230.9,0.209
20,41.5,45.5,6535.0,230.8,0.207
21,40.7,44.7,6535.1,230.9,0.202
22,44.6,48.3,6535.1,230.9,0.221
23,108.5,110.7,6531.6,230.9,0.561
24,159.1,161.0,6528.9,230.7,0.733
25,154.6,156.5,6529.5,230.7,0.711
26,150.7,152.6,6529.9,230.7,0.694
27,146.7,148.6,6530.0,230.7,0.676
28,142.7,144.7,6530.1,230.5,0.659
29,135.0,137.0,6530.3,230.7,0.624
30,131.5,133.5,6530.6,230.7,0.608
31,128.0,130.1,6530.8,230.7,0.593
32,124.5,126.6,6530.9,230.7,0.577
33,117.1,119.2,6531.5,230.7,0.528
34,113.7,115.9,6531.6,230.6,0.505
