0,0.0,0.0,0.0,229.4,0.0
1,0.0,0.0,0.0,229.4,0.0
2,0.0,0.0,0.0,229.5,0.0
3,0.0,0.0,0.0,229.6,0.0
4,81.9,82.4,9.2,229.3,0.36
5,80.1,80.6,8.8,229.4,0.352
6,79.9,80.4,8.8,229.5,0.35
7,79.6,80.0,8.7,229.4,0.349
8,79.0,79.5,8.6,229.6,0.347
9,77.3,77.7,8.4,229.5,0.339
10,77.4,77.8,8.4,229.4,0.338
11,77.0,77.5,8.4,229.5,0.336
12,76.6,77.0,8.1,229.5,0.334
13,76.2,76.7,7.9,229.5,0.334
14,76.1,76.3,8.0,229.7,0.333
15,75.9,76.3,8.1,229.3,0.333
16,75.7,76.1,7.9,229.5,0.332
17,75.6,76.0,7.9,229.3,0.332
18,76.2,76.7,8.1,229.2,0.335
19,76.8,77.2,8.3,229.4,0.337
20,76.5,77.0,8.0,229.3,0.336
21,76.3,76.7,7.9,229.4,0.335
22,76.4,76.8,8.0,229.5,0.335
23,76.4,76.8,7.9,229.4,0.335
24,76.2,76.7,8.0,229.3,0.335
25,76.2,76.6,8.0,229.6,0.334
26,76.4,76.9,7.9,229.8,0.335
27,6.0,6.0,0.0,229.8,0.094
28,0.0,0.0,0.0,229.8,0.0
29,0.0,0.0,0.0,229.7,0.0
30,0.0,0.0,0.0,229.9,0.0
31,0.0,0.0,0.0,229.6,0.0
